,domain_id,domain_name,domain_url
176,3204,Bandung,https://bandungkab.bps.go.id
177,3205,Garut,https://garutkab.bps.go.id
178,3206,Tasikmalaya,https://tasikmalayakab.bps.go.id
179,3207,Ciamis,https://ciamiskab.bps.go.id
180,3208,Kuningan,https://kuningankab.bps.go.id
181,3209,Cirebon,https://cirebonkab.bps.go.id
182,3210,Majalengka,https://majalengkakab.bps.go.id
183,3211,Sumedang,https://sumedangkab.bps.go.id
184,3212,Indramayu,https://indramayukab.bps.go.id
185,3213,Subang,https://subangkab.bps.go.id
186,3214,Purwakarta,https://purwakartakab.bps.go.id
187,3215,Karawang,https://karawangkab.bps.go.id
188,3216,Bekasi,https://bekasikab.bps.go.id
189,3217,Bandung Barat,https://bandungbaratkab.bps.go.id
190,3218,Pangandaran,https://pangandarankab.bps.go.id
191,3271,Bogor,https://bogorkota.bps.go.id
192,3272,Sukabumi,https://sukabumikota.bps.go.id
193,3273,Bandung,https://bandungkota.bps.go.id
194,3274,Cirebon,https://cirebonkota.bps.go.id
195,3275,Bekasi,https://bekasikota.bps.go.id
196,3276,Depok,https://depokkota.bps.go.id
197,3277,Cimahi,https://cimahikota.bps.go.id
198,3278,Tasikmalaya,https://tasikmalayakota.bps.go.id
199,3279,Banjar,https://banjarkota.bps.go.id
200,3300,Jawa Tengah,https://jateng.bps.go.id
201,3301,Cilacap,https://cilacapkab.bps.go.id
202,3302,Banyumas,https://banyumaskab.bps.go.id
203,3303,Purbalingga,https://purbalinggakab.bps.go.id
204,3304,Banjarnegara,https://banjarnegarakab.bps.go.id
205,3305,Kebumen,https://kebumenkab.bps.go.id
206,3306,Purworejo,https://purworejokab.bps.go.id
207,3307,Wonosobo,https://wonosobokab.bps.go.id
208,3308,Magelang,https://magelangkab.bps.go.id
209,3309,Boyolali,https://boyolalikab.bps.go.id
210,3310,Klaten,https://klatenkab.bps.go.id
211,3311,Sukoharjo,https://sukoharjokab.bps.go.id
212,3312,Wonogiri,https://wonogirikab.bps.go.id
213,3313,Karanganyar,https://karanganyarkab.bps.go.id
214,3314,Sragen,https://sragenkab.bps.go.id
215,3315,Grobogan,https://grobogankab.bps.go.id
216,3316,Blora,https://blorakab.bps.go.id
217,3317,Rembang,https://rembangkab.bps.go.id
218,3318,Pati,https://patikab.bps.go.id
219,3319,Kudus,https://kuduskab.bps.go.id
220,3320,Jepara,https://jeparakab.bps.go.id
221,3321,Demak,https://demakkab.bps.go.id
222,3322,Semarang,https://semarangkab.bps.go.id
223,3323,Temanggung,https://temanggungkab.bps.go.id
